id,phrasal_verb,example_1,example_2,example_3
"01","drop by","Please drop by after work if you have time.","My uncle likes to drop by without calling first.","I will drop by the bakery on my way home."
"02","come over","A few friends are coming over tonight.","Why don't you come over and study with us?","My cousins came over for lunch on Sunday."
"03","looking for","I am looking for my keys again.","She looked for a quiet place to read.","We are looking for a better apartment downtown."
"04","got on","We got on the bus just before it left.","Make sure you get on the right train this time.","They got on at the next station."
"05","get in","Get in the taxi before it starts raining.","The kids got in the car and buckled up.","He told us to get in quickly."
"06","got off","I got off at Central Station this morning.","She got off the bus one stop early.","Let's get off here and walk the rest of the way."
"07","clean up","We need to clean up before the guests arrive.","He cleaned up the kitchen after dinner.","Clean up your desk before you leave."
"08","look up","I always look up new words in a dictionary app.","She looked up the train schedule online.","Can you look his number up for me?"
"09","put on","Put on your hat before you go outside.","He put on some music while he cooked.","I need to put on a jacket because it's windy."
"10","take off","Please take off your shoes at the door.","He took off his glasses and rubbed his eyes.","I need to take off this wet coat."
"11","come back","I want to come back here next weekend.","She came back from Canada yesterday.","Please come back when you have more time."
"12","go back","I had to go back for my wallet.","Let's go back and check the room again.","She went back to work after lunch."
"13","come up with","We need to come up with a new slogan.","She came up with a clever answer.","Can you come up with three ideas by tomorrow?"
"14","hang up","I have to hang up now because class is starting.","She hung up before I could answer.","Please don't hang up yet."
"15","go for","Let's go for coffee after the meeting.","He went for a long run this morning.","I could go for some ramen right now."
"16","run away","The dog ran away when the gate opened.","He wanted to run away from all his problems.","They ran away before anyone noticed them."
"17","moving in","They plan to move in next month.","My sister moved in with her best friend.","We moved in last weekend and still have boxes everywhere."
"18","move out","He will move out at the end of June.","She moved out when she got a new job.","We have to move out by Friday."
"19","show up","Only two students showed up for class.","He never shows up on time.","Thanks for showing up to help us."
"20","turn up","My missing glove finally turned up.","Something unexpected always turns up.","The documents turned up in an old drawer."
"21","come up","Come up to the second floor when you get here.","She came up to me and asked a question.","Can you come up after lunch?"
"22","put off","I can't put off this decision any longer.","She kept putting off her homework.","Don't put off calling the doctor."
"23","come in","Come in and have some tea.","The cat came in through the open window.","Please come in before it gets dark."
"24","stay in","Let's stay in and watch a movie tonight.","They stayed in because of the storm.","I want to stay in this weekend and rest."
"25","take on","I can't take on any more clients this month.","She took on a new project at work.","He is ready to take on more responsibility."
"26","move on","Let's move on to the next topic.","It took her a while to move on after the breakup.","We should move on before we run out of time."
"27","give up","I won't give up that easily.","She gave up trying to fix the printer.","Don't give up on your dream."
"28","get to","Text me when you get to the station.","We got to the airport very early.","How long does it take to get to your office?"
"29","keep up","Keep up the great work.","Can you keep up at this pace?","She works hard to keep up during lessons."
"30","hold down","Hold down the papers so they don't fly away.","He held down the lid while it cooled.","Can you hold this box down while I tape it?"
"31","hand in","Please hand in your report by Monday.","She handed in the form this morning.","Don't forget to hand in your homework."
"32","get away","I need to get away for a few days.","She got away from the city for the weekend.","We all need to get away from stress sometimes."
"33","go ahead","Go ahead and start without me.","He smiled and said I could go ahead.","Please go ahead with your presentation."
"34","come from","I come from a small town in Hokkaido.","Where do you come from originally?","She comes from a family of musicians."
"35","go together","These colors go together really well.","Rice and curry go together perfectly.","I don't think those shoes go together with that dress."
"36","get into","We couldn't get into the building after nine.","How did the cat get into the closet?","She used a keycard to get into the lab."
"37","put up","Can you put up the new calendar?","They put up a tent by the lake.","We need to put up some shelves in the office."
"38","go away","Please go away and let me concentrate.","The pain went away after a few hours.","I wish these clouds would go away."
"39","go down","He went down to the basement to check the pipes.","Can you go down and open the door?","She went down to the kitchen for some water."
"40","get behind","I don't want to get behind in math class.","She got behind on her bills last month.","Try not to get behind with your reading."
"41","go out","Do you want to go out after dinner?","They went out for drinks on Friday night.","We haven't gone out in weeks."
"42","went up to","She went up to the counter and asked for help.","I saw him go up to the teacher after class.","He went up to the dog very carefully."
"43","turn","Turn the computer off and on again.","He turned the lights on and off to test them.","Can you turn the heater on and off from your phone?"
"44","ran into","I ran into my old teacher at the mall.","She ran into some traffic on the way home.","We ran into each other at a concert."
"45","put away","Please put away the dishes after dinner.","He put away his tools before leaving.","I finally put away my winter clothes."
"46","turned out","The trip turned out better than we expected.","It turned out to be a great restaurant.","Everything turned out fine in the end."
"47","look up to","Many students look up to that coach.","I looked up to my older sister when I was young.","He really looks up to his grandfather."
"48","ask for","I need to ask for some extra time.","She asked for directions at the station.","He never asks for help unless he really needs it."
"49","shut up","He told his brother to shut up during the movie.","Someone in the crowd yelled at the man to shut up.","I was about to complain, but I shut up instead."
"50","throw away","Throw away those old magazines.","He threw away the receipt by mistake.","Please throw away any spoiled food."
